Name;Street1;Street2;Street3;City;Province;Zip;User;UserSS;Last Shipment;Last Contact;Rolling 12 Months Sales;Rolling 12 Months Sales LY;Sales Last Month;Sales Last Month LY;Balance
MARIA LATELLA;VIA CRESCENZIO 19;;;ROMA;RM;00193;;;16/06/22;;€40,98;€0,00;€0,00;€0,00;€0,00
CARUSO COSTRUZIONI S.P.A.;VIA TOMMASO CAMPANELLA, 66;;;CATANZARO;CZ;88100;;;06/12/22;;€40,98;€0,00;€0,00;€0,00;€0,00
Marico Factory Srl;VIA MOSCOVA 47/A;;;Milano;MI;20121;;;13/12/22;;€40,98;€0,00;€0,00;€0,00;€0,00
MONIA CASCONE;VIA RUGGERO DI LAURIA 2;;;MILANO;mi;20149;;;28/03/23;;€40,98;€0,00;€40,98;€0,00;€0,00
meru' snc di bartolomeo e giovanna mereu;via solferino 3;;;milano;mi;20121;;;17/01/23;;€40,98;€0,00;€0,00;€0,00;€0,00
OTTICA ARTIOLI S.R.L.;PIAZZA XXV APRILE, 12;;;MILANO;MI;20124;;;12/08/22;;€40,98;€0,00;€0,00;€0,00;€0,00
Inse Grup 2002 SLL.;C/ Balmes 415 Local 3;;;Barcelona;;08022;;;26/10/22;24/06/19;€40,00;€0,00;€0,00;€0,00;€0,00
Brunswick SRL;Via Solferino 7;;;Milano;MI;20121;;;20/06/22;10/09/18;€40,00;€0,00;€0,00;€0,00;€0,00
RED PUBLIC S.R.L.;GALLERIA SAN BABILA, 4;;;MILANO;MI;20122;;;31/05/22;01/04/22;€39,83;€0,00;€0,00;€0,00;€48,59
ELIGO S.R.L.;VIALE GIACOMO LEOPARDI, 15;;;LECCE;LE;73100;;;22/11/22;;€39,34;€0,00;€0,00;€0,00;€0,00
FRADES MILANO SRL;Via Mazzini nr 20;;;Milano;MI;20123;Fabio Gallo;Fabio Gallo;28/02/23;14/02/23;€38,86;€0,00;€0,00;€0,00;€0,00
CLEMENTINA S.R.L.;VIA VISCONTI DI MODRONE UBERTO, 38;;;MILANO;MI;20122;;;27/10/22;;€38,52;€0,00;€0,00;€0,00;€0,00
ITALIAN COOPERATIVE'S TRADE S.R.L.;VIA ALDO MORO 1;;;PIEVE EMANUELE;MI;20090;Fabio Gallo;Fabio Gallo;16/02/23;13/02/23;€37,91;€2.290,60;€0,00;€0,00;€2.361,05
MARCHESI SISTEMI DI FABIO MARCHESI;CORSO GIUSEPPE GARIBALDI, 12;;;MILANO;MI;20121;;;11/10/22;;€37,71;€0,00;€0,00;€0,00;€0,00
ALEXANDER KIM S.N.C. DI GRANGE ALESSANDRO E CHIMENTI FEDERICO;VIA FONTANA, 21;VIA FONTANA 21;;MILANO;MI;20122;;;15/02/23;;€36,89;€0,00;€0,00;€0,00;€0,00
PALMA RAFFAELLA;VIA FIORI CHIARI 2;;;MILANO;MI;20121;;;20/01/23;;€36,89;€0,00;€0,00;€0,00;€0,00
130 FINANCE S.R.L.;VIA DANTE, 4;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;16/03/23;;€36,89;€0,00;€36,89;€0,00;€0,00
EASY TRAVEL S.A.S. DI DELI LUIGI GIUSEPPE & C.;VIA CARLO POERIO, 11;;;MILANO;MI;20129;;;12/08/22;16/08/22;€36,89;€0,00;€0,00;€0,00;€0,00
GRUPPO RICERCATO IMMOBILIARE S.R.L.;VIALE JAPIGIA, 20;;;LECCE;LE;73100;;;31/10/22;08/11/22;€36,00;€0,00;€0,00;€0,00;€0,00
arch nicholas bewick;via maroncelli 10;;;milano;MI;20154;;;21/10/22;05/11/22;€35,00;€0,00;€0,00;€0,00;€0,00
PRV S.N.C. DI PROVENZANO FABIO E C.;VIA SAN SALUTO 74;;;BRONI;PV;27043;;;31/03/23;;€35,00;€0,00;€35,00;€0,00;€0,00
SICANIA LABS LTD;VIA ILLIRICO 6/A;;;MILANO;MI;20133;;;24/01/23;;€35,00;€0,00;€0,00;€0,00;€0,00
PAOLO FINZI;VIA CESARE MANGILI 2;;;MILANO;mi;20121;;;15/04/22;;€35,00;€0,00;€0,00;€0,00;€0,00
DELLA RATTA RINALDI ALBERTA NOTAIO;VIALE GIACOMO MATTEOTTI, 14D;;;MILANO;MI;20095;;;05/10/22;;€32,79;€0,00;€0,00;€0,00;€0,00
VIAGGI DA IINTENDITORE SRL;VIA ROMA 29;;;VILLA CARCINA;BS;25069;;;27/05/22;26/05/22;€32,79;€0,00;€0,00;€0,00;€40,00
NIMPHEA S.R.L.;VIA ELEONORA DUSE, 5/G;;;ROMA;RM;00197;;;22/12/22;;€32,79;€0,00;€0,00;€0,00;€0,00
STUDIO BORMIDA S.R.L.;PIAZZALE MARENGO, 8;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;16/12/22;;€32,79;€0,00;€0,00;€0,00;€0,00
MOSAE S.R.L.;VIA MOSCOVA 25;;;MILANO;MI;20121;;;18/01/23;;€32,79;€0,00;€0,00;€0,00;€0,00
HELBIZ ITALIA S.R.L.;VIA DELLA MOSCOVA 12;;;MILANO;MI;20121;;;02/05/22;;€32,79;€0,00;€0,00;€0,00;€0,00
ALICETTE S.R.L.;VIA GIUSEPPE GARIBALDI, 40/42;;;NOTO;SR;96017;;;29/03/23;;€32,79;€0,00;€32,79;€0,00;€0,00
VOX MEDIA S.R.L.;CORSO DI PORTA NUOVA 16;;;MILANO;MI;20121;;;22/09/22;;€32,79;€36,89;€0,00;€0,00;€0,00
FIRST CLASS P.R.;VIA DANIELE MANIN 13;;;MILANO;MI;20121;;;25/05/22;;€32,78;€91,80;€0,00;€0,00;€0,00
seas;corso di porta nuova 18;;;milano;mi;20121;;;06/10/22;;€32,78;€0,00;€0,00;€0,00;€0,00
ATLAS - CENTRO MEDICO RIABILITATIVO - S.R.L.;VIA MONTE DI PIETA', 19;;;MILANO;MI;20121;;;11/01/23;;€32,78;€0,00;€0,00;€0,00;€0,00
FABRICA SRL;VIA EMILIO GOLA, 31;;;MILANO;MI;20143;;;17/01/23;;€31,15;€0,00;€0,00;€0,00;€0,00
SAEA SRL;VIA FLAMINIA, 131;;;ROMA;RM;00196;Fabio Gallo;Fabio Gallo;31/10/22;30/04/21;€30,25;€0,00;€0,00;€0,00;€0,00
Omnia Servizi di Rizzoli Andrea;via Gramsci 19;;;Ravenna;RA;48121;;;29/04/22;;€30,00;€0,00;€0,00;€0,00;€0,00
L&M CONSULTING SRL;VIA MANZONI 43;;;MILANO;mi;20121;;;05/05/22;14/10/22;€30,00;€0,00;€0,00;€0,00;€0,00
CENTRO IMPRENDO UNO SRL;Via del Vaccaro, 4;;;Roma;RM;00187;;;08/07/22;24/03/23;€30,00;€0,00;€0,00;€0,00;€0,00
Ellesei di Gabriele Rocchiccioli;via dell'Indipendenza 34/36;;;Livorno;li;57126;;;28/06/22;24/06/22;€30,00;€0,00;€0,00;€0,00;€36,60
LAURA STABILE;Via;via solferino  1;;Milano;mi;20121;;;09/03/23;;€30,00;€0,00;€30,00;€0,00;€0,00
NONNA RITA SRL;VIA MARIA TERESA 11;;;MILANO;MI;20123;;;20/07/22;;€29,50;€0,00;€0,00;€0,00;€0,00
MARK ALEXANDER TESLER;VIA EMILIO DE MARCHI 8;;;MILANO;MI;20125;;;12/07/22;;€28,69;€0,00;€0,00;€0,00;€0,00
MICCHETTI VALENTINA;VIA LOVANIO, 5;;;MILANO;MI;20121;;;21/03/23;;€28,69;€0,00;€28,69;€0,00;€0,00
FINMET S.R.L.;VIA LARGA 8;;;MILANO;MI;20122;;;18/11/22;;€28,69;€0,00;€0,00;€0,00;€0,00
COMPAGNIA MILANESE SRL;VIA CASTEL FIDARDO 2;;;MILANO;MI;20121;;;29/09/22;29/06/18;€28,69;€0,00;€0,00;€0,00;€0,00
FOOD LUX S.R.L.;VIA MERANO, 18;;;MILANO;MI;20127;;;29/06/22;;€28,69;€0,00;€0,00;€0,00;€0,00
Andrea Scrocca;Via Pietro Mignosi 6;;;Roma;RM;00139;;;28/06/22;28/06/22;€28,69;€0,00;€0,00;€0,00;€35,00
TECFIX S.A.S. DI MARCO NEGRI E C.;CORSO DI PORTA NUOVA, 38;;;MILANO;MI;20121;;;02/08/22;;€28,69;€0,00;€0,00;€0,00;€0,00
OVER THE LUX S.R.L.;VIA UGO FOSCOLO 4;;;MILANO;MI;20121;;;27/12/22;01/08/17;€28,69;€0,00;€0,00;€0,00;€0,00
FEMAEN S.R.L.;VIA ERASMO BOSCHETTI, 2;;;MILANO;MI;20124;;;18/07/22;;€28,69;€0,00;€0,00;€0,00;€0,00
SILTGEST S.R.L.;CORSO DI PORTA NUOVA, 15;;;MILANO;MI;20121;;;06/09/22;;€28,69;€0,00;€0,00;€0,00;€0,00
LANCIA LUCIANA;VIALE SANT AGOSTINO 95;;;VICENZA;VC;36100;;;28/04/22;;€28,69;€0,00;€0,00;€0,00;€0,00
ESTATE ADVISOR S.A.S. DI AGRIFOGLIO PAOLO ERNESTO & C.;VIA SAN FRANCESCO D ASSISI 12;;;MILANO;MI;20122;;;27/03/23;;€28,69;€40,98;€28,69;€0,00;€0,00
STUDIO TORRISI COMMERCIALISTI E LEGALI ASSOCIATI;VIA DEL VECCHIO POLITECNICO 5;;;MILANO;MI;20121;;;30/11/22;23/01/19;€28,69;€0,00;€0,00;€0,00;€0,00
TAX ADVISORS SRL;VIA LOVANIO N°10;;;milano;mi;20121;;;09/05/22;09/05/22;€28,00;€0,00;€0,00;€0,00;€34,16
GALLINA E ASSOCIATI;VIA DELLA SPIGA 9;;;MILANO;MI;20121;;;16/09/22;;€27,86;€0,00;€0,00;€0,00;€0,00
ACCAPIERRE S.R.L.;PIAZZA DEI DAINI, 3;;;MILANO;MI;20126;Fabio Gallo;Fabio Gallo;06/10/22;23/02/23;€27,79;€0,00;€0,00;€0,00;€0,00
GABBA PROGETTI S.R.L.;VIA DORA, 2;;;ROMA;RM;00198;;;26/09/22;;€26,23;€0,00;€0,00;€0,00;€0,00
tsiala zardiashvili;via di porta ticinese 101;;;milano;mi;20143;;;30/09/22;;€26,23;€0,00;€0,00;€0,00;€0,00
MILANO ACCOUNTING SERVICES S.R.L.;VIA FILIPPO TURATI, 40;;;MILANO;MI;20121;;;15/12/22;;€26,23;€0,00;€0,00;€0,00;€0,00
LUDOVICA FRANCESCA CUTRERA;VIA BARTOLOMEO EUSTACHI 31;;;MILANO;MI;20129;;;01/06/22;;€26,07;€0,00;€0,00;€0,00;€0,00
GE MULTISERVICE S.R.L.;VIA BARTOLOMEO BOSCO 21;;;GENOVA;GE;16121;;;18/11/22;14/10/22;€25,00;€0,00;€0,00;€0,00;€0,00
Carmen srl;via San Gregorio 43;;;Milano;mi;20100;Fabio Gallo;Fabio Gallo;01/12/22;12/10/22;€24,78;€635,54;€0,00;€0,00;€2.409,15
SEPAF S.R.L.;VIA GIOSUÈ CARDUCCI, 16;;;MILANO;MI;20123;;;13/02/23;;€24,59;€0,00;€0,00;€0,00;€0,00
GOLDEN BOY TECHNOLOGY & INNOVATION S.R.L.;PIAZZA FILIPPO MEDA 5;;;MILANO;MI;20121;;;07/04/22;23/02/18;€24,59;€0,00;€0,00;€0,00;€0,00
CASTELLO DI BORNATO DI ORLANDO FERA LUIGI;VIA CASTELLO, 24;;;CAZZAGO SAN MARTINO;BS;25046;;;29/11/22;;€24,59;€0,00;€0,00;€0,00;€0,00
Onlus Ass. di Terra Santa;Piazza S.Angelo 2;;;Milano;MI;20121;;;23/12/22;;€24,59;€95,15;€0,00;€0,00;€0,00
F.A.P. S.R.L. COMMERCIO RICAMBI AUTO;VIA SANTA MARIA DELLA FINITA, 5/B;;TOMA;RUFFANO;LE;73049;;;08/04/22;;€24,59;€36,89;€0,00;€0,00;€0,00
RACHELE CREMONA;Via senato 20;;;milano;mi;20121;;;13/06/22;;€23,77;€0,00;€0,00;€0,00;€0,00
BLB STUDIO ASSOCIATO COMMERCIALE E TRIBUTARIO !!BLB TAX;PIAZZA CARLO MIRABELLO 2;;;MILANO;mi;20121;;;15/02/23;;€23,77;€0,00;€0,00;€0,00;€0,00
ANNA LUCIAGONZALES IBANEZ;AV LA PAZ 2121-506;COL LAFAYETTE;;GUADALAJARA;JALISCO;44140;;;25/10/22;;€23,00;€0,00;€0,00;€0,00;€0,00
MI HOME S.R.L.;CORSO ITALIA, 22;;;MILANO;MI;20122;;;31/03/23;;€22,95;€0,00;€22,95;€0,00;€0,00
EXSOLIS S.R.L.;VIA APPIANI ANDREA, 3/5;;;MILANO;MI;20121;;;14/06/22;;€22,95;€31,97;€0,00;€0,00;€0,00
GATTINONI & CO. S.R.L.;VIA STATUTO, 2;;;MILANO;MI;20121;;;30/11/22;;€22,50;€0,00;€0,00;€0,00;€0,00
MICHEL LEO SRL;VIA SOLFERINO, 35;;;MILANO;MI;20121;;;27/01/23;;€22,13;€0,00;€0,00;€0,00;€0,00
DREAM BIG S.R.L.;VIA SANTA MARIA VALLE, 7;;;MILANO;MI;20123;;;20/12/22;;€22,13;€0,00;€0,00;€0,00;€0,00
ARTEST S.R.L;VIA MARSALA 13;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;14/02/23;23/11/22;€20,50;€0,00;€0,00;€0,00;€0,00
MILANO 4 RENT S.R.L.;VIA UMBERTO GIORDANO, 96;;;ROMA;RM;00124;;;05/10/22;;€20,49;€0,00;€0,00;€0,00;€0,00
sawana moroni;via clerici 1;;;milano;mi;20121;;;02/05/22;;€20,49;€0,00;€0,00;€0,00;€0,00
COLART ITALIANA S.R.L.;VIA MONTE ROSA, 11;;;MILANO;MI;20149;;;07/03/23;;€20,49;€0,00;€20,49;€0,00;€0,00
GA SAS;VIALE MONTE SANTO 8;;;MILANO;MI;20124;;;09/05/22;;€20,49;€0,00;€0,00;€0,00;€0,00
PLAYMORE!;VIA VOLTA 19;;;MILANO;MI;20121;;;07/03/23;;€20,49;€240,16;€20,49;€0,00;€0,00
Ditta Individuale Federico Lisetto;VIA GIOSUE' CARDUCCI, 27/29;;;UDINE;UD;33100;;;23/06/22;24/02/23;€20,00;€20,00;€0,00;€0,00;€48,80
BIAGIO GIANNINI;VIA UGO BETTI 29;;;MILANO;MI;20151;;;04/06/22;;€18,85;€0,00;€0,00;€0,00;€0,00
ORO INCENSO E MIRRA S.R.L.;VIA DELLA MOSCOVA, 25;;;MILANO;MI;20121;;;07/02/23;;€18,85;€0,00;€0,00;€0,00;€0,00
INNOVAS SOCIETA' A RESPONSABILITA' LIMITATA;VIA ALESSANDRO VOLTA, 7/A;;;MILANO;MI;20121;;;06/05/22;;€18,03;€28,69;€0,00;€0,00;€0,00
LISSONI MASSIMO;via moscova 15;;;milano;mi;20121;;;15/12/22;;€18,03;€43,44;€0,00;€0,00;€0,00
VALENTINA GASPARRE;VIA STATUTO N 13;;;MILANO;MI;20121;;;15/12/22;;€18,03;€0,00;€0,00;€0,00;€0,00
MIGLIORATI BARBARA;VIA CASTELFIDARDO 10;;;MILANO;MI;20121;;;13/06/22;01/10/20;€18,03;€50,00;€0,00;€0,00;€0,00
ASSOCIAZIONE DALMATI ITALIANI NEL MONDO-LCZE;VIA ROMANA 42;;;TORREGLIA;PD;35038;;;23/09/22;;€18,03;€0,00;€0,00;€0,00;€0,00
FINCONTABILE S.A.S. DI SILVIO LAGANA' & C.;VIA CIOVASSINO, 3/A;;;MILANO;MI;20121;;;06/10/22;;€18,03;€0,00;€0,00;€0,00;€0,00
MUSE & QUEEN DI QIAN DU;VIA GIUSEPPE MEDA, 36/A;;;MILANO;MI;20141;;;23/08/22;;€18,03;€0,00;€0,00;€0,00;€0,00
VR NOTAI MILANO;VIA MONTEBELLO, 27;;;MILANO;MI;20121;;;04/10/22;04/02/22;€17,62;€171,00;€0,00;€0,00;€0,00
Leonardo Talarico;Via Monviso 18;;;Rho;MI;20017;;;15/02/23;;€16,39;€0,00;€0,00;€0,00;€0,00
PHOTO OP S.R.L.;CORSO DI PORTA NUOVA 20;;;MILANO;MI;20121;;;07/03/23;16/07/20;€16,39;€0,00;€16,39;€0,00;€0,00
DINAMO S.A.S. DI STEFANO LONZA & C.;VIA CESARE BATTISTI, 2;;;TRIESTE;TS;34125;;;28/09/22;;€16,39;€0,00;€0,00;€0,00;€0,00
MC SERVICE di Zeliani Marcello;Via Brescia 26/a;;;cremona;CR;26100;;;27/10/22;20/10/22;€16,39;€25,00;€0,00;€0,00;€54,90
PACIFICO S.R.L.;STRADELLA DELL'ISOLA 1;;;VICENZA;VI;36100;;;31/01/23;;€16,39;€0,00;€0,00;€0,00;€0,00
STUDIO LEGALE CISLAGHI LESSIO ASSOCIATI;CORSO DI PORTA NUOVA 20;;;MILANO;MI;20121;Fabio Gallo;;20/10/22;07/10/22;€16,39;€0,00;€0,00;€0,00;€0,00
KEKYJOB S.R.L.;VIA DELLA MOSCOVA, 40/7;;;MILANO;MI;20121;;;28/06/22;;€16,39;€0,00;€0,00;€0,00;€0,00
FASHION -RUPTOR SRL;VIA DELLA MOSCOVA 46/3;;;MILANO;MI;20121;;;13/06/22;;€16,39;€0,00;€0,00;€0,00;€0,00
POST OFFICE SOCIETA' A RESPONSABILITA' LIMITATA;VIA MALASPINA, 122/124;;;PALERMO;PA;90145;;;31/01/23;10/01/23;€16,39;€0,00;€0,00;€0,00;€0,00
FG2 FOOD LAB SRL;VIA ALBERICO ALBRICCI, 9;;;MILANO;MI;20122;;;24/02/23;;€16,39;€0,00;€0,00;€0,00;€0,00
GALLARINI VITTORIO;CORSO DI PORTA NUOVA, 46/B;;;MILANO;MI;20121;;;13/04/22;;€16,39;€0,00;€0,00;€0,00;€0,00
ORAL3D S.R.L.;VIA MARSALA 29H;;;ROMA;RM;00185;Fabio Gallo;Fabio Gallo;31/05/22;24/10/22;€15,18;€0,00;€0,00;€0,00;€18,52
CENTRO IMPRENDO UNO S.R.L.;Via Brodolini 26;;;Battipaglia;SA;84091;;;16/06/22;15/06/22;€15,00;€0,00;€0,00;€0,00;€18,30
Avv. Gianfranco Benvenuto;Via Andrea Appiani n. 12;;;MILANO;MI;20121;;;04/05/22;03/05/22;€13,94;€0,00;€0,00;€0,00;€0,00
PUGGINA & PARTNERS SRL;CORSO DI PORTA NUOVA, 32;;;MILANO;MI;20121;;;16/09/22;;€13,93;€0,00;€0,00;€0,00;€0,00
MISANI SPA;VIA CAVOUR 18;;;VARESE;VA;21100;;;15/11/22;;€13,93;€28,69;€0,00;€0,00;€0,00
FRASER JANE ELIZABETH;VIA TUCIDIDE, 56;;;MILANO;MI;20134;;;02/12/22;;€13,93;€70,49;€0,00;€0,00;€0,00
OCTOBER ITALIA S.R.L.;VIA CERESIO 7/9;;;MILANO;MI;20154;;;27/05/22;;€13,93;€65,58;€0,00;€0,00;€0,00
AVVEDUTO CARMELO;VIA LAURA SOLERA MANTEGAZZA 9;;;MILANO;MI;20121;;;13/06/22;;€13,93;€0,00;€0,00;€0,00;€0,00
SAMPIETRO ALBERTO;VIA DELL'ANNUNCIATA 2;;;MILANO;MI;20121;;;02/12/22;;€13,93;€0,00;€0,00;€0,00;€0,00
FINMET S.R.L.;VIA LARGA 8;;;MILANO;MI;20122;;;18/05/22;;€13,93;€0,00;€0,00;€0,00;€16,99
SOLFERINO IMMOBILIARE S.R.L.;VIA SOLFERINO 25;;;MILANO;MI;20121;;;12/04/22;;€13,93;€0,00;€0,00;€0,00;€0,00
FRANCESCO FIUMANO';VIA ARRIGO BOITO, 35;;;MONZA;MB;20900;;;27/03/23;;€13,93;€0,00;€13,93;€0,00;€0,00
THE IRISH SCHOOL OF ENGLISH S.A.S. DI NICOLA POLATO;VIA ANGELO INGANNI, 52;;;MILANO;MI;20147;;;17/03/23;;€13,93;€0,00;€13,93;€0,00;€0,00
HOTEL SOLUTIONS S.R.L.;VIA DELL'ANNUNCIATA, 23/1;;;MILANO;MI;20121;;;07/06/22;;€13,93;€17,21;€0,00;€0,00;€0,00
CM&M DI CORNETTI MAURIZIO & C. S.A.S.;VIA FELICE BELLOTTI, 15;;;MILANO;MI;20129;;;19/12/22;;€13,93;€0,00;€0,00;€0,00;€0,00
UNITALIANO.COM S.R.L.;STR. 1ON CAMPINEANU, Nr.11;;;Bucarest;;;Fabio Gallo;Fabio Gallo;05/04/23;04/04/23;€13,74;€0,00;€0,00;€0,00;€0,00
MBE Worldwide Spa;VIALE LUNIGIANA 35-37;;;Milano;MI;20125;;;18/10/22;05/04/23;€12,44;€4.180,60;€0,00;€40,93;€5.073,53
JDM DI ZANNI FEDERICO SNC;VIA ROMA 7/CD;;;SCANDIANO;RE;42019;;;05/10/22;;€12,30;€0,00;€0,00;€0,00;€0,00
VIAGGIATORE ORGANIZATION SCHIO SRL;VIA LAGO TRASIMENO 36;;;SCHIO;VI;36015;;;31/01/23;03/12/18;€12,30;€0,00;€0,00;€0,00;€0,00
EMILIANA SERVIZI S.R.L.;VIA CIRCONDARIA NORD, 157/159;;;CASTELFRANCO EMILIA;MO;41013;;;24/01/23;23/01/23;€12,30;€0,00;€0,00;€0,00;€0,00
GIOVANNA A. FAZIO;DOCS USA LLC;VIA B. ANGELICO 1;;MILANO;MI;20133;;;19/07/22;;€12,30;€0,00;€0,00;€0,00;€0,00
L'OBIETTIVO SNC DI MARCHESE CHIARA E GERETTO ELENA;VIALE PORDENONE, 39;;;PORTOGRUARO;VE;30026;;;31/01/23;09/01/23;€12,30;€0,00;€0,00;€0,00;€0,00
STUDIO TORNELLO VOLPI E ASSOCIATI;PIAZZA DELLA REPUBBLICA, 1;;;MILANO;MI;20121;;;08/02/23;;€12,30;€0,00;€0,00;€0,00;€0,00
GELATI KATRI;via bistorin 7;;;ALBAIRATE;MI;20080;;;22/02/23;;€12,30;€0,00;€0,00;€0,00;€0,00
Michele Chessa;Via Vittorio Emanuele 78;;;ALGHERO;ss;07041;;;11/07/22;13/02/23;€12,30;€0,00;€0,00;€0,00;€0,00
CASTADIVA S.A.S. DI TATIANA ZERLOTTINI & C.;VIA GIUSEPPE PARINI 9;;;MILANO;MI;20121;;;20/01/23;;€12,00;€9,84;€0,00;€0,00;€0,00
YU RETAIL SRL;VIA NOSADELLA, 45;;;BOLOGNA;BO;40123;;;28/10/22;;€11,48;€0,00;€0,00;€0,00;€0,00
MICRO FINANCE SRL - AGENZIA IN ATTIVITA' FINANZIARIA;VIA VASTO, 1;;;MILANO;MI;20121;;;11/04/22;;€11,48;€0,00;€0,00;€0,00;€0,00
NEXT ITALY S.R.L.;VIA FILIPPO TURATI 40;;;MILANO;MI;20121;;;23/06/22;;€11,48;€53,28;€0,00;€0,00;€0,00
Digital360 Spa;Via Copernico 38;;;Mila;MI;20125;Fabio Gallo;Fabio Gallo;30/08/22;16/02/22;€11,01;€415,00;€0,00;-€1.134,43;€506,30
MAMOIA S.R.L.;VIA AMICANGELO RICCI, 153;;;FOGGIA;FG;71121;Fabio Gallo;Fabio Gallo;31/03/23;13/03/23;€10,18;€250,00;€10,18;€0,00;€317,42
L&B Partecipazioni S.r.l.;Via Turati 6;;;Milano;MI;20121;;;30/12/22;31/03/23;€10,00;€0,00;€0,00;€0,00;€36,55
De Stefano Fabio;Via Tiberio Deciani 89;;;Udine;UD;33100;;;09/05/22;;€10,00;€0,00;€0,00;€0,00;€12,20
AGRICOLA MORIONDO DI MELZI ADELE;VIA MORIONDO, 345;;;CAVAGLIÀ;BI;13881;;;29/12/22;26/01/23;€9,50;€250,00;€0,00;€0,00;€11,59
TIZIANA ROCCELLA;VIALE ELVEZIA 18;;;MILANO;MI;20154;Fabio Gallo;Fabio Gallo;13/02/23;13/02/23;€8,23;€204,92;€0,00;€0,00;€0,00
FULLMOON CAPITAL S.R.L.;VIA PALESTRO, 20;;;MILANO;MI;20121;;;20/12/22;;€8,20;€0,00;€0,00;€0,00;€0,00
DUCCIO GRASSI ARCHITECTS S.R.L.;VIA DON ZEFFERINO JODI, 12/AB;;;REGGIO NELL'EMILIA;RE;42121;;;07/04/22;;€8,20;€0,00;€0,00;€0,00;€0,00
AMAMI MILANO S.R.L.;VIA AMERIGO VESPUCCI 1;;;MILANO;MI;20124;;;06/04/22;;€7,38;€12,71;€0,00;€12,71;€0,00
AMAMI MILANO S.R.L.;VIA AMERIGO VESPUCCI 1;;;MILANO;MI;20124;;;13/04/22;;€6,15;€0,00;€0,00;€0,00;€0,00
DEAL SOURCE ITALIA S.R.L.;VIA MANFREDO CAMPERIO, 14;;;MILANO;MI;20121;;;29/07/22;;€4,51;€0,00;€0,00;€0,00;€0,00
DREAM 2000 S.R.L.;VIA LAZIO, 10;;;ROMA;RM;00187;Fabio Gallo;Fabio Gallo;07/02/23;;€0,82;€150,00;€0,00;€0,00;€183,00
KHATUNA DARCHIASHVILI;VIA GUIDO GUINISELLI 13;;;MILANO;MI;20127;;;11/10/22;;€0,00;€0,00;€0,00;€0,00;€0,00
AB NOTAI ASSOCIATI Averoldi - Battirolo;Piazza del Duomo 17;;;Milano;MI;20121;Fabio Gallo;Fabio Gallo;30/11/22;;€0,00;€0,00;€0,00;€0,00;€0,00
HAIR SPA SRL;CORSO COMO 15;;;MILANO;MI;20154;;;18/11/22;;€0,00;€0,00;€0,00;€0,00;€0,00
SAS SINGULART;95 AV DU PRESIDENT WILSON;;;MONTREUIL;;93100;;;19/05/22;20/02/20;€0,00;€0,00;€0,00;€0,00;€200,00
Maison Gala, Sasu;5 Avenue Ingres;;;PARIS;PARIS;75016;;;22/12/22;17/01/22;€0,00;€250,00;€0,00;€0,00;€250,00
PREVIERO N. S.R.L.;VIA PER CAVOLTO 17;;;ANZANO DEL PARCO;CO;22040;;;25/01/23;;€0,00;€0,00;€0,00;€0,00;€0,00
LEGA ITALIANA PER LA LOTTA CONTRO I TUMORI ( sbagliato);VIA ALESSANDRO TORLONIA, 15;;;ROMA;RM;00161;Fabio Gallo;Fabio Gallo;07/10/22;27/10/22;€0,00;€0,00;€0,00;€0,00;€1.531,10
FABRIZIO MANTOVANI;Corso Risorgimento 155;;;Cinisello Balsamo;MI;20092;;;24/10/22;24/10/22;-€40,98;€434,00;€0,00;€0,00;€529,48
DANIELE MASTRACCI;Via A. Baccarini 8;;;ROMA;RM;03024;;;25/11/22;24/10/22;-€75,41;€100,00;€0,00;€0,00;€122,00
Fover di Bragato Marco;VIA ASIAGO 50;;;MILANO;MI;20128;;;22/12/22;22/12/22;-€100,00;€244,29;€0,00;€0,00;€122,00
S.D.S. SRL - SOCIETA' DI DISTRIBUZIONE E SERVIZI;VIA CAMPO DEI FIORI, 13;;;VITTUONE;MI;20009;;;31/01/23;19/01/23;-€106,34;€3.685,11;€0,00;€0,00;€2.205,26
AD MIRABILIA S.R.L.;VIA ARIOSTO 28;;;MILANO;MI;20145;Fabio Gallo;Fabio Gallo;27/04/22;11/07/22;-€140,00;€1.172,14;€0,00;€0,00;€0,00
GIULIA VALENTINA PALERMO;VIA PALERMO 5;;;MILANO;MI;20123;Fabio Gallo;Fabio Gallo;25/10/22;;-€150,00;€650,00;€0,00;€0,00;€183,00
REAIR S.R.L.;VIA MONTENAPOLEONE 10;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;26/04/22;;-€238,65;€272,38;€0,00;€0,00;€610,00
ENOTECA DECANDIA;Via Buccari, 30;;;BARI;BA;70125;Fabio Gallo;Fabio Gallo;08/07/22;;-€250,00;€250,00;€0,00;€0,00;€555,00
AMUELA S.R.L.;CORSO DI PORTA NUOVA 20;;;MILANO;MI;20121;Fabio Gallo;Fabio Gallo;05/01/23;;-€483,78;€1.512,44;€0,00;€651,80;€555,00
INNOVATIVE WORK S.N.C. DI NICOLA DELLA CORTE E FELICE SPAMPANATO;TARVERSA COL. MARIO DE SENA, 14;;;NOLA;NA;80035;;;29/07/22;26/10/21;-€500,00;€500,00;€0,00;€0,00;€610,00
